Nr;Distance;Azimuth;Elevation
1;284;0.0;0.0
2;284;0.15;0.0
3;284;0.3;0.0
4;284;0.45;0.0
5;284;0.6;0.0
6;284;0.75;0.0
7;284;0.9;0.0
8;284;1.05;0.0
9;284;1.2;0.0
10;284;1.35;0.0
11;285;1.5;0.0
12;285;1.65;0.0
13;285;1.8;0.0
14;285;1.95;0.0
15;285;2.1;0.0
16;286;2.25;0.0
17;286;2.4;0.0
18;286;2.55;0.0
19;287;2.7;0.0
20;287;2.85;0.0
21;288;3.0;0.0
22;288;3.15;0.0
23;289;3.3;0.0
24;289;3.45;0.0
25;289;3.6;0.0
26;289;3.75;0.0
27;290;3.9;0.0
28;290;4.05;0.0
29;289;4.2;0.0
30;290;4.35;0.0
31;290;4.5;0.0
32;290;4.65;0.0
33;290;4.8;0.0
34;291;4.95;0.0
35;291;5.1;0.0
36;291;5.25;0.0
37;292;5.4;0.0
38;293;5.55;0.0
39;294;5.7;0.0
40;295;5.85;0.0
41;296;6.0;0.0
42;298;6.15;0.0
43;299;6.3;0.0
44;300;6.45;0.0
45;301;6.6;0.0
46;303;6.75;0.0
47;304;6.9;0.0
48;306;7.05;0.0
49;307;7.2;0.0
50;309;7.35;0.0
51;310;7.5;0.0
52;312;7.65;0.0
53;313;7.8;0.0
54;314;7.95;0.0
55;315;8.1;0.0
56;316;8.25;0.0
57;316;8.4;0.0
58;317;8.55;0.0
59;317;8.7;0.0
60;318;8.85;0.0
61;318;9.0;0.0
62;318;9.15;0.0
63;318;9.3;0.0
64;318;9.45;0.0
65;318;9.6;0.0
66;317;9.75;0.0
67;317;9.9;0.0
68;317;10.05;0.0
69;317;10.2;0.0
70;317;10.35;0.0
71;316;10.5;0.0
72;316;10.65;0.0
73;315;10.8;0.0
74;315;10.95;0.0
75;314;11.1;0.0
76;314;11.25;0.0
77;312;11.4;0.0
78;311;11.55;0.0
79;309;11.7;0.0
80;307;11.85;0.0
81;303;12.0;0.0
82;300;12.15;0.0
83;296;12.3;0.0
84;292;12.45;0.0
85;288;12.6;0.0
86;284;12.75;0.0
87;280;12.9;0.0
88;276;13.05;0.0
89;272;13.2;0.0
90;267;13.35;0.0
91;263;13.5;0.0
92;260;13.65;0.0
93;256;13.8;0.0
94;253;13.95;0.0
95;251;14.1;0.0
96;248;14.25;0.0
97;246;14.4;0.0
98;245;14.55;0.0
99;243;14.7;0.0
100;242;14.85;0.0
101;241;15.0;0.0
102;241;15.15;0.0
103;240;15.3;0.0
104;240;15.45;0.0
105;239;15.6;0.0
106;239;15.75;0.0
107;239;15.9;0.0
108;239;16.05;0.0
109;238;16.2;0.0
110;238;16.35;0.0
111;238;16.5;0.0
112;238;16.65;0.0
113;238;16.8;0.0
114;238;16.95;0.0
115;239;17.1;0.0
116;240;17.25;0.0
117;241;17.4;0.0
118;243;17.55;0.0
119;244;17.7;0.0
120;245;17.85;0.0
121;246;18.0;0.0
122;247;18.15;0.0
123;248;18.3;0.0
124;249;18.45;0.0
125;251;18.6;0.0
126;252;18.75;0.0
127;253;18.9;0.0
128;254;19.05;0.0
129;256;19.2;0.0
130;256;19.35;0.0
131;257;19.5;0.0
132;258;19.65;0.0
133;259;19.8;0.0
