Nr;Distance;Azimuth;Elevation
1;164.2;0.0;0.0
2;164.3;0.6;0.0
3;164.6;1.2;0.0
4;164.6;1.8;0.0
5;164.9;2.4;0.0
6;165.1;3.0;0.0
7;165.1;3.6;0.0
8;165.3;4.2;0.0
9;165.2;4.8;0.0
10;165.4;5.4;0.0
11;165.4;6.0;0.0
12;165.0;6.6;0.0
13;165.1;7.2;0.0
14;165.1;7.8;0.0
15;165.2;8.4;0.0
16;165.6;9.0;0.0
17;164.9;9.6;0.0
18;165.4;10.2;0.0
19;165.2;10.8;0.0
20;165.6;11.4;0.0
21;165.5;12.0;0.0
22;165.4;12.6;0.0
23;165.7;13.2;0.0
24;166.2;13.8;0.0
25;166.0;14.4;0.0
26;166.5;15.0;0.0
27;166.5;15.6;0.0
28;166.5;16.2;0.0
29;166.5;16.8;0.0
30;166.8;17.4;0.0
31;166.0;18.0;0.0
32;166.3;18.6;0.0
33;165.8;19.2;0.0
34;165.9;19.8;0.0
35;165.3;20.4;0.0
36;165.0;21.0;0.0
37;165.1;21.6;0.0
38;164.5;22.2;0.0
39;164.3;22.8;0.0
40;164.0;23.4;0.0
41;163.7;24.0;0.0
42;163.2;24.6;0.0
43;163.7;25.2;0.0
44;163.4;25.8;0.0
45;163.1;26.4;0.0
46;163.3;27.0;0.0
47;163.6;27.6;0.0
48;163.6;28.2;0.0
49;163.5;28.8;0.0
50;164.0;29.4;0.0
51;163.2;30.0;0.0
52;163.8;30.6;0.0
53;164.1;31.2;0.0
54;164.6;31.8;0.0
55;164.3;32.4;0.0
56;165.1;33.0;0.0
57;165.2;33.6;0.0
58;165.3;34.2;0.0
59;166.0;34.8;0.0
60;167.2;35.4;0.0
61;167.7;36.0;0.0
62;168.9;36.6;0.0
63;169.8;37.2;0.0
64;170.9;37.8;0.0
65;171.7;38.4;0.0
66;173.1;39.0;0.0
67;173.4;39.6;0.0
68;174.3;40.2;0.0
69;175.5;40.8;0.0
70;176.7;41.4;0.0
71;177.6;42.0;0.0
72;178.5;42.6;0.0
73;180.1;43.2;0.0
74;181.7;43.8;0.0
75;182.1;44.4;0.0
76;183.8;45.0;0.0
77;185.5;45.6;0.0
78;187.0;46.2;0.0
79;188.4;46.8;0.0
80;190.3;47.4;0.0
81;191.0;48.0;0.0
82;191.9;48.6;0.0
83;193.3;49.2;0.0
84;194.2;49.8;0.0
85;195.6;50.4;0.0
86;197.1;51.0;0.0
87;197.5;51.6;0.0
88;198.4;52.2;0.0
89;198.4;52.8;0.0
90;200.0;53.4;0.0
91;200.5;54.0;0.0
92;201.1;54.6;0.0
93;202.7;55.2;0.0
94;204.5;55.8;0.0
95;204.1;56.4;0.0
96;204.4;57.0;0.0
97;206.2;57.6;0.0
98;207.8;58.2;0.0
99;209.4;58.8;0.0
100;209.7;59.4;0.0
101;213.5;60.0;0.0
102;215.9;60.6;0.0
